Feature,Importance
lub oil temp,0.42098881541870337
Lub oil pressure,0.27690744465197203
Coolant temp,0.17951059291866395
Fuel pressure,0.06342691474671958
Coolant pressure,0.040448729556315385
Engine rpm,0.018717469180013012
